Year,TotShips,TotPower,TotTon,,,,
1979,42779,2180877,1293479,,,,
1980,48366,2329411,1320935,,,,
1981,59075,2516627,1412481,,,,
1983,93746,2933700,1620398,,,,
1984,112132,333,0,,,,
1985,129906,3487884,1906167,,,,
1986,322390,8093644,4452906,,,,
1987,193401,4674084,2494957,,,,
1988,214245,5425215,2756587,,,,
1989,229825,6148606,3118054,,,,
1990,239477,6629190,3166512,,,,
1991,242669,7242143,3565953,,,,
1992,244171,7830567,3808216,,,,
1993,252126,8106593,3942736,,,,
1994,259297,8394107,4055982,,,,
1995,273978,9800739,4657597,,,,
1996,280352,10755063,4998771,,,,
1997,282504,11218769,5257964,,,,
1998,283218,11801492,5446956,,,,
1999,279994,12180709,5600419,,,,
2000,289682,12727083,5820106,,,,
2001,282834,13004404,5972426,,,,
2002,279003,13401529,6072797,,,,
2003,224430,12136723,5490280,,,,
2004,219914,12080642,5408402,,,,
2005,214132,12107267,5402005,,,,
2006,210941,12218510,5347004,,,,
2007,207353,12394224,5527675,,,,
2008,199620,12744416,5660508,,,,
2009,203118,12790491,5697239,,203118,12790491,5697239
2010,206616,12836566,5733970,,,,
2011,204123,12804797,5872740,,,,
2012,201357,13016180,6041547,,,,
2013,193903,13028660,6387223,,,,
2014,196455,13360299,6735690,,,,
2015,191605,13828964,7148251,,,,
2016,186883,14165251,7426784,,,,
